country,year,lifeExp,pop,gdpPercap,iso_alpha,iso_num
Algeria,1952,43.077,9279525,2449.008185,DZA,12
Algeria,1957,45.685,10270856,3013.976023,DZA,12
Algeria,1962,48.303,11000948,2550.81688,DZA,12
Algeria,1967,51.407,12760499,3246.991771,DZA,12
Algeria,1972,54.518,14760787,4182.663766,DZA,12
Algeria,1977,58.014,17152804,4910.416756000001,DZA,12
Algeria,1982,61.368,20033753,5745.160213,DZA,12
Algeria,1987,65.79899999999999,23254956,5681.358539,DZA,12
Algeria,1992,67.744,26298373,5023.216647,DZA,12
Algeria,1997,69.152,29072015,4797.295051,DZA,12
Algeria,2002,70.994,31287142,5288.040382,DZA,12
Algeria,2007,72.301,33333216,6223.367465,DZA,12
Angola,1952,30.015,4232095,3520.610273,AGO,24
Angola,1957,31.999,4561361,3827.940465,AGO,24
Angola,1962,34.0,4826015,4269.276742,AGO,24
Angola,1967,35.985,5247469,5522.776375,AGO,24
Angola,1972,37.928,5894858,5473.288004999999,AGO,24
Angola,1977,39.483,6162675,3008.647355,AGO,24
Angola,1982,39.942,7016384,2756.953672,AGO,24
Angola,1987,39.906,7874230,2430.208311,AGO,24
Angola,1992,40.647,8735988,2627.845685,AGO,24
Angola,1997,40.963,9875024,2277.140884,AGO,24
Angola,2002,41.003,10866106,2773.287312,AGO,24
Angola,2007,42.731,12420476,4797.231267,AGO,24
Benin,1952,38.223,1738315,1062.7522,BEN,204
Benin,1957,40.358,1925173,959.6010805,BEN,204
Benin,1962,42.618,2151895,949.4990641,BEN,204
Benin,1967,44.885,2427334,1035.831411,BEN,204
Benin,1972,47.014,2761407,1085.796879,BEN,204
Benin,1977,49.19,3168267,1029.161251,BEN,204
Benin,1982,50.904,3641603,1277.897616,BEN,204
Benin,1987,52.337,4243788,1225.85601,BEN,204
Benin,1992,53.919,4981671,1191.207681,BEN,204
Benin,1997,54.777,6066080,1232.975292,BEN,204
Benin,2002,54.40600000000001,7026113,1372.877931,BEN,204
Benin,2007,56.728,8078314,1441.284873,BEN,204
Botswana,1952,47.622,442308,851.2411407,BWA,72
Botswana,1957,49.618,474639,918.2325349,BWA,72
Botswana,1962,51.52,512764,983.6539764,BWA,72
Botswana,1967,53.298,553541,1214.709294,BWA,72
Botswana,1972,56.024,619351,2263.6111140000007,BWA,72
Botswana,1977,59.319,781472,3214.857818,BWA,72
Botswana,1982,61.484,970347,4551.14215,BWA,72
Botswana,1987,63.622,1151184,6205.88385,BWA,72
Botswana,1992,62.745,1342614,7954.111645,BWA,72
Botswana,1997,52.556,1536536,8647.142313,BWA,72
Botswana,2002,46.63399999999999,1630347,11003.60508,BWA,72
Botswana,2007,50.728,1639131,12569.85177,BWA,72
Burkina Faso,1952,31.975,4469979,543.2552413,BFA,854
