country,year,lifeExp,pop,gdpPercap,iso_alpha,iso_num
Argentina,1952,62.485,17876956,5911.315053,ARG,32
Argentina,1957,64.399,19610538,6856.8562120000015,ARG,32
Argentina,1962,65.142,21283783,7133.166023000002,ARG,32
Argentina,1967,65.634,22934225,8052.953020999998,ARG,32
Argentina,1972,67.065,24779799,9443.038526,ARG,32
Argentina,1977,68.48100000000001,26983828,10079.02674,ARG,32
Argentina,1982,69.942,29341374,8997.897412,ARG,32
Argentina,1987,70.774,31620918,9139.671389,ARG,32
Argentina,1992,71.868,33958947,9308.41871,ARG,32
Argentina,1997,73.275,36203463,10967.28195,ARG,32
Argentina,2002,74.34,38331121,8797.640716,ARG,32
Argentina,2007,75.32,40301927,12779.37964,ARG,32
Bolivia,1952,40.414,2883315,2677.326347,BOL,68
Bolivia,1957,41.89,3211738,2127.686326,BOL,68
Bolivia,1962,43.428,3593918,2180.972546,BOL,68
Bolivia,1967,45.032,4040665,2586.886053,BOL,68
Bolivia,1972,46.714,4565872,2980.331339,BOL,68
Bolivia,1977,50.023,5079716,3548.097832,BOL,68
Bolivia,1982,53.859,5642224,3156.510452,BOL,68
Bolivia,1987,57.25100000000001,6156369,2753.69149,BOL,68
Bolivia,1992,59.957,6893451,2961.699694,BOL,68
Bolivia,1997,62.05,7693188,3326.143191,BOL,68
Bolivia,2002,63.883,8445134,3413.26269,BOL,68
Bolivia,2007,65.554,9119152,3822.137084,BOL,68
Brazil,1952,50.917,56602560,2108.944355,BRA,76
Brazil,1957,53.285,65551171,2487.365989,BRA,76
Brazil,1962,55.665,76039390,3336.585802,BRA,76
Brazil,1967,57.632,88049823,3429.864357,BRA,76
Brazil,1972,59.504,100840058,4985.711467,BRA,76
Brazil,1977,61.489,114313951,6660.118654,BRA,76
Brazil,1982,63.33600000000001,128962939,7030.835878,BRA,76
Brazil,1987,65.205,142938076,7807.095818000002,BRA,76
Brazil,1992,67.057,155975974,6950.283020999998,BRA,76
Brazil,1997,69.388,168546719,7957.980823999998,BRA,76
Brazil,2002,71.006,179914212,8131.212843000001,BRA,76
