country,year,lifeExp,pop,gdpPercap,iso_alpha,iso_num
Albania,1952,55.23,1282697,1601.056136,ALB,8
Albania,1957,59.28,1476505,1942.284244,ALB,8
Albania,1962,64.82,1728137,2312.888958,ALB,8
Albania,1967,66.22,1984060,2760.196931,ALB,8
Albania,1972,67.69,2263554,3313.422188,ALB,8
Albania,1977,68.93,2509048,3533.003910000001,ALB,8
Albania,1982,70.42,2780097,3630.880722,ALB,8
Albania,1987,72.0,3075321,3738.932735,ALB,8
Albania,1992,71.581,3326498,2497.437901,ALB,8
Albania,1997,72.95,3428038,3193.054604,ALB,8
Albania,2002,75.65100000000002,3508512,4604.211737,ALB,8
Albania,2007,76.423,3600523,5937.029525999998,ALB,8
Austria,1952,66.8,6927772,6137.076492,AUT,40
Austria,1957,67.48,6965860,8842.59803,AUT,40
Austria,1962,69.54,7129864,10750.72111,AUT,40
Austria,1967,70.14,7376998,12834.6024,AUT,40
Austria,1972,70.63,7544201,16661.6256,AUT,40
Austria,1977,72.17,7568430,19749.4223,AUT,40
Austria,1982,73.18,7574613,21597.08362,AUT,40
Austria,1987,74.94,7578903,23687.82607,AUT,40
Austria,1992,76.04,7914969,27042.01868,AUT,40
Austria,1997,77.51,8069876,29095.920660000003,AUT,40
Austria,2002,78.98,8148312,32417.60769,AUT,40
Austria,2007,79.829,8199783,36126.4927,AUT,40
Belgium,1952,68.0,8730405,8343.105126999999,BEL,56
Belgium,1957,69.24,8989111,9714.960623,BEL,56
Belgium,1962,70.25,9218400,10991.20676,BEL,56
Belgium,1967,70.94,9556500,13149.04119,BEL,56
Belgium,1972,71.44,9709100,16672.14356,BEL,56
Belgium,1977,72.8,9821800,19117.97448,BEL,56
Belgium,1982,73.93,9856303,20979.84589,BEL,56
Belgium,1987,75.35,9870200,22525.56308,BEL,56
Belgium,1992,76.46,10045622,25575.57069,BEL,56
Belgium,1997,77.53,10199787,27561.19663,BEL,56
Belgium,2002,78.32,10311970,30485.88375,BEL,56
Belgium,2007,79.441,10392226,33692.60508,BEL,56
Bosnia and Herzegovina,1952,53.82,2791000,973.5331948,BIH,70
Bosnia and Herzegovina,1957,58.45,3076000,1353.989176,BIH,70
Bosnia and Herzegovina,1962,61.93,3349000,1709.683679,BIH,70
Bosnia and Herzegovina,1967,64.79,3585000,2172.3524230000007,BIH,70
Bosnia and Herzegovina,1972,67.45,3819000,2860.16975,BIH,70
Bosnia and Herzegovina,1977,69.86,4086000,3528.481305,BIH,70
Bosnia and Herzegovina,1982,70.69,4172693,4126.613157,BIH,70
Bosnia and Herzegovina,1987,71.14,4338977,4314.114757,BIH,70
Bosnia and Herzegovina,1992,72.178,4256013,2546.781445,BIH,70
Bosnia and Herzegovina,1997,73.244,3607000,4766.355904,BIH,70
Bosnia and Herzegovina,2002,74.09,4165416,6018.975239,BIH,70
Bosnia and Herzegovina,2007,74.852,4552198,7446.298803,BIH,70
Bulgaria,1952,59.6,7274900,2444.286648,BGR,100
Bulgaria,1957,66.61,7651254,3008.670727,BGR,100
Bulgaria,1962,69.51,8012946,4254.337839,BGR,100
Bulgaria,1967,70.42,8310226,5577.0028,BGR,100
Bulgaria,1972,70.9,8576200,6597.494398,BGR,100
