continent,country,year,gdpPercap
Asia,Afghanistan,1952,779.4453145
Asia,Afghanistan,1957,820.8530296
Asia,Afghanistan,1962,853.1007099999998
Asia,Afghanistan,1967,836.1971382
Asia,Afghanistan,1972,739.9811057999998
Asia,Afghanistan,1977,786.11336
Asia,Afghanistan,1982,978.0114388
Asia,Afghanistan,1987,852.3959447999998
Asia,Afghanistan,1992,649.3413952000002
Asia,Afghanistan,1997,635.341351
Asia,Afghanistan,2002,726.7340548
Asia,Afghanistan,2007,974.5803384
Europe,Albania,1952,1601.056136
Europe,Albania,1957,1942.284244
Europe,Albania,1962,2312.888958
Europe,Albania,1967,2760.196931
Europe,Albania,1972,3313.422188
Europe,Albania,1977,3533.003910000001
Europe,Albania,1982,3630.880722
Europe,Albania,1987,3738.932735
Europe,Albania,1992,2497.437901
Europe,Albania,1997,3193.054604
Europe,Albania,2002,4604.211737
Europe,Albania,2007,5937.029525999998
Africa,Algeria,1952,2449.008185
Africa,Algeria,1957,3013.976023
Africa,Algeria,1962,2550.81688
Africa,Algeria,1967,3246.991771
Africa,Algeria,1972,4182.663766
Africa,Algeria,1977,4910.416756000001
Africa,Algeria,1982,5745.160213
Africa,Algeria,1987,5681.358539
Africa,Algeria,1992,5023.216647
Africa,Algeria,1997,4797.295051
Africa,Algeria,2002,5288.040382
Africa,Algeria,2007,6223.367465
Africa,Angola,1952,3520.610273
Africa,Angola,1957,3827.940465
Africa,Angola,1962,4269.276742
Africa,Angola,1967,5522.776375
Africa,Angola,1972,5473.288004999999
Africa,Angola,1977,3008.647355
Africa,Angola,1982,2756.953672
Africa,Angola,1987,2430.208311
Africa,Angola,1992,2627.845685
Africa,Angola,1997,2277.140884
Africa,Angola,2002,2773.287312
Africa,Angola,2007,4797.231267
Americas,Argentina,1952,5911.315053
Americas,Argentina,1957,6856.8562120000015
Americas,Argentina,1962,7133.166023000002
Americas,Argentina,1967,8052.953020999998
Americas,Argentina,1972,9443.038526
Americas,Argentina,1977,10079.02674
Americas,Argentina,1982,8997.897412
Americas,Argentina,1987,9139.671389
Americas,Argentina,1992,9308.41871
Americas,Argentina,1997,10967.28195
Americas,Argentina,2002,8797.640716
Americas,Argentina,2007,12779.37964
Oceania,Australia,1952,10039.59564
Oceania,Australia,1957,10949.64959
Oceania,Australia,1962,12217.22686
Oceania,Australia,1967,14526.12465
Oceania,Australia,1972,16788.62948
Oceania,Australia,1977,18334.19751
Oceania,Australia,1982,19477.00928
Oceania,Australia,1987,21888.88903
Oceania,Australia,1992,23424.76683
Oceania,Australia,1997,26997.93657
Oceania,Australia,2002,30687.75473
Oceania,Australia,2007,34435.367439999995
