continent,country,year,lifeExp
Asia,Afghanistan,1952,28.801
Asia,Afghanistan,1957,30.332
Asia,Afghanistan,1962,31.997
Asia,Afghanistan,1967,34.02
Asia,Afghanistan,1972,36.088
Asia,Afghanistan,1977,38.438
Asia,Afghanistan,1982,39.854
Asia,Afghanistan,1987,40.822
Asia,Afghanistan,1992,41.674
Asia,Afghanistan,1997,41.76300000000001
Asia,Afghanistan,2002,42.129
Asia,Afghanistan,2007,43.828
Europe,Albania,1952,55.23
Europe,Albania,1957,59.28
Europe,Albania,1962,64.82
Europe,Albania,1967,66.22
Europe,Albania,1972,67.69
Europe,Albania,1977,68.93
Europe,Albania,1982,70.42
Europe,Albania,1987,72.0
Europe,Albania,1992,71.581
Europe,Albania,1997,72.95
Europe,Albania,2002,75.65100000000002
Europe,Albania,2007,76.423
Africa,Algeria,1952,43.077
Africa,Algeria,1957,45.685
Africa,Algeria,1962,48.303
Africa,Algeria,1967,51.407
Africa,Algeria,1972,54.518
Africa,Algeria,1977,58.014
Africa,Algeria,1982,61.368
Africa,Algeria,1987,65.79899999999999
Africa,Algeria,1992,67.744
Africa,Algeria,1997,69.152
Africa,Algeria,2002,70.994
Africa,Algeria,2007,72.301
Africa,Angola,1952,30.015
Africa,Angola,1957,31.999
Africa,Angola,1962,34.0
Africa,Angola,1967,35.985
Africa,Angola,1972,37.928
Africa,Angola,1977,39.483
Africa,Angola,1982,39.942
Africa,Angola,1987,39.906
Africa,Angola,1992,40.647
Africa,Angola,1997,40.963
Africa,Angola,2002,41.003
Africa,Angola,2007,42.731
Americas,Argentina,1952,62.485
Americas,Argentina,1957,64.399
Americas,Argentina,1962,65.142
Americas,Argentina,1967,65.634
Americas,Argentina,1972,67.065
Americas,Argentina,1977,68.48100000000001
Americas,Argentina,1982,69.942
Americas,Argentina,1987,70.774
Americas,Argentina,1992,71.868
Americas,Argentina,1997,73.275
Americas,Argentina,2002,74.34
Americas,Argentina,2007,75.32
Oceania,Australia,1952,69.12
Oceania,Australia,1957,70.33
Oceania,Australia,1962,70.93
Oceania,Australia,1967,71.1
Oceania,Australia,1972,71.93
Oceania,Australia,1977,73.49
Oceania,Australia,1982,74.74
Oceania,Australia,1987,76.32
Oceania,Australia,1992,77.56
Oceania,Australia,1997,78.83
Oceania,Australia,2002,80.37
Oceania,Australia,2007,81.235
Europe,Austria,1952,66.8
Europe,Austria,1957,67.48
Europe,Austria,1962,69.54
Europe,Austria,1967,70.14
Europe,Austria,1972,70.63
Europe,Austria,1977,72.17
Europe,Austria,1982,73.18
Europe,Austria,1987,74.94
Europe,Austria,1992,76.04
Europe,Austria,1997,77.51
Europe,Austria,2002,78.98
Europe,Austria,2007,79.829
Asia,Bahrain,1952,50.93899999999999
Asia,Bahrain,1957,53.832
Asia,Bahrain,1962,56.923
Asia,Bahrain,1967,59.923
Asia,Bahrain,1972,63.3
Asia,Bahrain,1977,65.593
Asia,Bahrain,1982,69.05199999999999
Asia,Bahrain,1987,70.75
Asia,Bahrain,1992,72.601
Asia,Bahrain,1997,73.925
Asia,Bahrain,2002,74.795
Asia,Bahrain,2007,75.635
Asia,Bangladesh,1952,37.484
Asia,Bangladesh,1957,39.348
Asia,Bangladesh,1962,41.216
Asia,Bangladesh,1967,43.453
Asia,Bangladesh,1972,45.252
Asia,Bangladesh,1977,46.923
Asia,Bangladesh,1982,50.00899999999999
Asia,Bangladesh,1987,52.819
Asia,Bangladesh,1992,56.018
Asia,Bangladesh,1997,59.412
Asia,Bangladesh,2002,62.01300000000001
Asia,Bangladesh,2007,64.062
Europe,Belgium,1952,68.0
Europe,Belgium,1957,69.24
Europe,Belgium,1962,70.25
Europe,Belgium,1967,70.94
Europe,Belgium,1972,71.44
Europe,Belgium,1977,72.8
Europe,Belgium,1982,73.93
Europe,Belgium,1987,75.35
Europe,Belgium,1992,76.46
Europe,Belgium,1997,77.53
Europe,Belgium,2002,78.32
Europe,Belgium,2007,79.441
Africa,Benin,1952,38.223
Africa,Benin,1957,40.358
Africa,Benin,1962,42.618
Africa,Benin,1967,44.885
Africa,Benin,1972,47.014
Africa,Benin,1977,49.19
Africa,Benin,1982,50.904
Africa,Benin,1987,52.337
Africa,Benin,1992,53.919
Africa,Benin,1997,54.777
Africa,Benin,2002,54.40600000000001
Africa,Benin,2007,56.728
Americas,Bolivia,1952,40.414
Americas,Bolivia,1957,41.89
Americas,Bolivia,1962,43.428
Americas,Bolivia,1967,45.032
Americas,Bolivia,1972,46.714
Americas,Bolivia,1977,50.023
Americas,Bolivia,1982,53.859
Americas,Bolivia,1987,57.25100000000001
Americas,Bolivia,1992,59.957
Americas,Bolivia,1997,62.05
Americas,Bolivia,2002,63.883
Americas,Bolivia,2007,65.554
Europe,Bosnia and Herzegovina,1952,53.82
Europe,Bosnia and Herzegovina,1957,58.45
Europe,Bosnia and Herzegovina,1962,61.93
Europe,Bosnia and Herzegovina,1967,64.79
Europe,Bosnia and Herzegovina,1972,67.45
Europe,Bosnia and Herzegovina,1977,69.86
Europe,Bosnia and Herzegovina,1982,70.69
Europe,Bosnia and Herzegovina,1987,71.14
Europe,Bosnia and Herzegovina,1992,72.178
Europe,Bosnia and Herzegovina,1997,73.244
Europe,Bosnia and Herzegovina,2002,74.09
Europe,Bosnia and Herzegovina,2007,74.852
Africa,Botswana,1952,47.622
Africa,Botswana,1957,49.618
Africa,Botswana,1962,51.52
Africa,Botswana,1967,53.298
Africa,Botswana,1972,56.024
Africa,Botswana,1977,59.319
Africa,Botswana,1982,61.484
Africa,Botswana,1987,63.622
