continent,country,year,pop
Asia,Afghanistan,1952,8425333
Asia,Afghanistan,1957,9240934
Asia,Afghanistan,1962,10267083
Asia,Afghanistan,1967,11537966
Asia,Afghanistan,1972,13079460
Asia,Afghanistan,1977,14880372
Asia,Afghanistan,1982,12881816
Asia,Afghanistan,1987,13867957
Asia,Afghanistan,1992,16317921
Asia,Afghanistan,1997,22227415
Asia,Afghanistan,2002,25268405
Asia,Afghanistan,2007,31889923
Europe,Albania,1952,1282697
Europe,Albania,1957,1476505
Europe,Albania,1962,1728137
Europe,Albania,1967,1984060
Europe,Albania,1972,2263554
Europe,Albania,1977,2509048
Europe,Albania,1982,2780097
Europe,Albania,1987,3075321
Europe,Albania,1992,3326498
Europe,Albania,1997,3428038
Europe,Albania,2002,3508512
Europe,Albania,2007,3600523
Africa,Algeria,1952,9279525
Africa,Algeria,1957,10270856
Africa,Algeria,1962,11000948
Africa,Algeria,1967,12760499
Africa,Algeria,1972,14760787
Africa,Algeria,1977,17152804
Africa,Algeria,1982,20033753
Africa,Algeria,1987,23254956
Africa,Algeria,1992,26298373
Africa,Algeria,1997,29072015
Africa,Algeria,2002,31287142
Africa,Algeria,2007,33333216
Africa,Angola,1952,4232095
Africa,Angola,1957,4561361
Africa,Angola,1962,4826015
Africa,Angola,1967,5247469
Africa,Angola,1972,5894858
Africa,Angola,1977,6162675
Africa,Angola,1982,7016384
Africa,Angola,1987,7874230
Africa,Angola,1992,8735988
Africa,Angola,1997,9875024
Africa,Angola,2002,10866106
Africa,Angola,2007,12420476
Americas,Argentina,1952,17876956
Americas,Argentina,1957,19610538
Americas,Argentina,1962,21283783
Americas,Argentina,1967,22934225
Americas,Argentina,1972,24779799
Americas,Argentina,1977,26983828
Americas,Argentina,1982,29341374
Americas,Argentina,1987,31620918
Americas,Argentina,1992,33958947
Americas,Argentina,1997,36203463
Americas,Argentina,2002,38331121
Americas,Argentina,2007,40301927
Oceania,Australia,1952,8691212
Oceania,Australia,1957,9712569
Oceania,Australia,1962,10794968
Oceania,Australia,1967,11872264
Oceania,Australia,1972,13177000
Oceania,Australia,1977,14074100
Oceania,Australia,1982,15184200
Oceania,Australia,1987,16257249
Oceania,Australia,1992,17481977
Oceania,Australia,1997,18565243
Oceania,Australia,2002,19546792
Oceania,Australia,2007,20434176
Europe,Austria,1952,6927772
Europe,Austria,1957,6965860
Europe,Austria,1962,7129864
Europe,Austria,1967,7376998
Europe,Austria,1972,7544201
Europe,Austria,1977,7568430
Europe,Austria,1982,7574613
Europe,Austria,1987,7578903
Europe,Austria,1992,7914969
Europe,Austria,1997,8069876
Europe,Austria,2002,8148312
Europe,Austria,2007,8199783
Asia,Bahrain,1952,120447
Asia,Bahrain,1957,138655
Asia,Bahrain,1962,171863
Asia,Bahrain,1967,202182
Asia,Bahrain,1972,230800
Asia,Bahrain,1977,297410
Asia,Bahrain,1982,377967
Asia,Bahrain,1987,454612
Asia,Bahrain,1992,529491
Asia,Bahrain,1997,598561
Asia,Bahrain,2002,656397
Asia,Bahrain,2007,708573
Asia,Bangladesh,1952,46886859
Asia,Bangladesh,1957,51365468
Asia,Bangladesh,1962,56839289
Asia,Bangladesh,1967,62821884
Asia,Bangladesh,1972,70759295
Asia,Bangladesh,1977,80428306
Asia,Bangladesh,1982,93074406
Asia,Bangladesh,1987,103764241
Asia,Bangladesh,1992,113704579
Asia,Bangladesh,1997,123315288
Asia,Bangladesh,2002,135656790
Asia,Bangladesh,2007,150448339
Europe,Belgium,1952,8730405
Europe,Belgium,1957,8989111
Europe,Belgium,1962,9218400
Europe,Belgium,1967,9556500
Europe,Belgium,1972,9709100
Europe,Belgium,1977,9821800
Europe,Belgium,1982,9856303
Europe,Belgium,1987,9870200
Europe,Belgium,1992,10045622
Europe,Belgium,1997,10199787
Europe,Belgium,2002,10311970
Europe,Belgium,2007,10392226
Africa,Benin,1952,1738315
