country,continent,lifeExp,pop,gdpPercap,iso_alpha,iso_num
Afghanistan,Asia,36.088,13079460,739.9811057999998,AFG,4
Albania,Europe,67.69,2263554,3313.422188,ALB,8
Algeria,Africa,54.518,14760787,4182.663766,DZA,12
Angola,Africa,37.928,5894858,5473.288004999999,AGO,24
Argentina,Americas,67.065,24779799,9443.038526,ARG,32
Australia,Oceania,71.93,13177000,16788.62948,AUS,36
Austria,Europe,70.63,7544201,16661.6256,AUT,40
Bahrain,Asia,63.3,230800,18268.65839,BHR,48
Bangladesh,Asia,45.252,70759295,630.2336265,BGD,50
Belgium,Europe,71.44,9709100,16672.14356,BEL,56
Benin,Africa,47.014,2761407,1085.796879,BEN,204
Bolivia,Americas,46.714,4565872,2980.331339,BOL,68
Bosnia and Herzegovina,Europe,67.45,3819000,2860.16975,BIH,70
Botswana,Africa,56.024,619351,2263.6111140000007,BWA,72
Brazil,Americas,59.504,100840058,4985.711467,BRA,76
Bulgaria,Europe,70.9,8576200,6597.494398,BGR,100
Burkina Faso,Africa,43.591,5433886,854.7359763000002,BFA,854
Burundi,Africa,44.057,3529983,464.0995039,BDI,108
Cambodia,Asia,40.317,7450606,421.6240257,KHM,116
Cameroon,Africa,47.049,7021028,1684.1465280000002,CMR,120
Canada,Americas,72.88,22284500,18970.57086,CAN,124
Central African Republic,Africa,43.457,1927260,1070.013275,CAF,140
Chad,Africa,45.569,3899068,1104.103987,TCD,148
Chile,Americas,63.441,9717524,5494.024437,CHL,152
China,Asia,63.11888,862030000,676.9000921,CHN,156
Colombia,Americas,61.62300000000001,22542890,3264.660041,COL,170
Comoros,Africa,48.944,250027,1937.577675,COM,174
"Congo, Dem. Rep.",Africa,45.989,23007669,904.8960685,COD,180
"Congo, Rep.",Africa,54.907,1340458,3213.152683,COG,178
Costa Rica,Americas,67.84899999999999,1834796,5118.146939,CRI,188
Cote d'Ivoire,Africa,49.801,6071696,2378.201111,CIV,384
Croatia,Europe,69.61,4225310,9164.090127,HRV,191
Cuba,Americas,70.723,8831348,5305.445256,CUB,192
Czech Republic,Europe,70.29,9862158,13108.4536,CZE,203
Denmark,Europe,73.47,4991596,18866.20721,DNK,208
Djibouti,Africa,44.36600000000001,178848,3694.2123520000014,DJI,262
Dominican Republic,Americas,59.631,4671329,2189.874499,DOM,214
Ecuador,Americas,58.79600000000001,6298651,5280.99471,ECU,218
Egypt,Africa,51.137,34807417,2024.008147,EGY,818
El Salvador,Americas,58.207,3790903,4520.246008,SLV,222
Equatorial Guinea,Africa,40.516,277603,672.4122571,GNQ,226
Eritrea,Africa,44.142,2260187,514.3242081999998,ERI,232
Ethiopia,Africa,43.515,30770372,566.2439442000001,ETH,231
Finland,Europe,70.87,4639657,14358.8759,FIN,246
France,Europe,72.38,51732000,16107.19171,FRA,250
Gabon,Africa,48.69,537977,11401.94841,GAB,266
Gambia,Africa,38.308,517101,756.0868363,GMB,270
Germany,Europe,71.0,78717088,18016.18027,DEU,276
Ghana,Africa,49.875,9354120,1178.223708,GHA,288
Greece,Europe,72.34,8888628,12724.82957,GRC,300
Guatemala,Americas,53.738,5149581,4031.408271,GTM,320
Guinea,Africa,38.842,3811387,741.6662307,GIN,324
Guinea-Bissau,Africa,36.486,625361,820.2245876000002,GNB,624
Haiti,Americas,48.042,4698301,1654.456946,HTI,332
Honduras,Americas,53.88399999999999,2965146,2529.842345,HND,340
"Hong Kong, China",Asia,72.0,4115700,8315.928145,HKG,344
Hungary,Europe,69.76,10394091,10168.65611,HUN,348
Iceland,Europe,74.46,209275,15798.06362,ISL,352
India,Asia,50.651,567000000,724.032527,IND,356
Indonesia,Asia,49.203,121282000,1111.107907,IDN,360
Iran,Asia,55.234,30614000,9613.818607,IRN,364
Iraq,Asia,56.95,10061506,9576.037596,IRQ,368
Ireland,Europe,71.28,3024400,9530.772896,IRL,372
Israel,Asia,71.63,3095893,12786.93223,ISR,376
Italy,Europe,72.19,54365564,12269.27378,ITA,380
Jamaica,Americas,69.0,1997616,7433.889293000001,JAM,388
Japan,Asia,73.42,107188273,14778.78636,JPN,392
Jordan,Asia,56.528,1613551,2110.856309,JOR,400
Kenya,Africa,53.559,12044785,1222.359968,KEN,404
"Korea, Dem. Rep.",Asia,63.983,14781241,3701.621503,KOR,410
"Korea, Rep.",Asia,62.612,33505000,3030.87665,KOR,410
Kuwait,Asia,67.712,841934,109347.867,KWT,414
Lebanon,Asia,65.421,2680018,7486.384341,LBN,422
Lesotho,Africa,49.767,1116779,496.5815922000001,LSO,426
Liberia,Africa,42.614,1482628,803.0054535,LBR,430
Libya,Africa,52.773,2183877,21011.49721,LBY,434
Madagascar,Africa,44.851000000000006,7082430,1748.562982,MDG,450
Malawi,Africa,41.76600000000001,4730997,584.6219709,MWI,454
Malaysia,Asia,63.01,11441462,2849.09478,MYS,458
Mali,Africa,39.977,5828158,581.3688761,MLI,466
Mauritania,Africa,48.437,1332786,1586.851781,MRT,478
Mauritius,Africa,62.944,851334,2575.484158,MUS,480
Mexico,Americas,62.361,55984294,6809.406690000002,MEX,484
Mongolia,Asia,53.754,1320500,1421.741975,MNG,496
Montenegro,Europe,70.63600000000002,527678,7778.414017,MNE,499
Morocco,Africa,52.862,16660670,1930.194975,MAR,504
Mozambique,Africa,40.328,9809596,724.9178037,MOZ,508
Myanmar,Asia,53.07,28466390,357.0,MMR,104
Namibia,Africa,53.867,821782,3746.080948,NAM,516
Nepal,Asia,43.971,12412593,674.7881296,NPL,524
Netherlands,Europe,73.75,13329874,18794.74567,NLD,528
New Zealand,Oceania,71.89,2929100,16046.03728,NZL,554
